title,location,Status,size,price,pricepersqfeet
2 BHK Apartment in Signature Altius,"Kollur, Hyderabad",Under Construction,1385 , 69.23 00000 ,"4,999 / sq ft"
3 BHK Apartment in Risinia Skyon,"Bachupally, Hyderabad",Under Construction,1673 , 93.67 00000 ,"5,599 / sq ft"
3 BHK Apartment in Aavasa Constructions Emerald,"Saroor Nagar, Hyderabad",Under Construction,1535 , 99.77 00000 ,"6,500 / sq ft"
2 BHK Apartment in Srija Twin Towers,"Dammaiguda, Hyderabad",Under Construction,1121 , 53.8 00000 ,"4,800 / sq ft"
3 BHK Apartment in Cybercity Oriana,"Kukatpally, Hyderabad",Under Construction,1550 , 1.6 0000000 ,"10,322 / sq ft"
3 BHK Apartment in Om Sree Brilliance,"Sainikpuri, Hyderabad",Under Construction,2130 , 1.29 0000000 ,"6,100 / sq ft"
2 BHK Apartment in Primark De Stature,"Kompally, Hyderabad",Under Construction,1225 , 57.56 00000 ,"4,699 / sq ft"
3 BHK Apartment in Srinivasa Emerald Greens,"Kompally, Hyderabad",Under Construction,2360 , 1.29 0000000 ,"5,500 / sq ft"
2 BHK Apartment in GSR Avasa EVK,"Kollur, Hyderabad",Under Construction,1275 , 44.61 00000 ,"3,499 / sq ft"
Residential Plot in Makuta Panchavati,"Vikarabad, Hyderabad",New,1656 , 25.76 00000 ,"1,556 / sq ft"
3 BHK Apartment in Namishree BPS Twin Towers,"Saidabad, Hyderabad",Under Construction,1612 , 93.49 00000 ,"5,800 / sq ft"
2 BHK Apartment in Namishree BPS Twin Towers,"Saidabad, Hyderabad",Under Construction,1285 , 74.53 00000 ,"5,800 / sq ft"
2 BHK Apartment in Namishree BPS Twin Towers,"Saidabad, Hyderabad",Under Construction,1050 , 60.9 00000 ,"5,800 / sq ft"
3 BHK Apartment in Namishree BPS Twin Towers,"Saidabad, Hyderabad",Under Construction,1397 , 81.02 00000 ,"5,800 / sq ft"
3 BHK Apartment in Namishree BPS Twin Towers,"Saidabad, Hyderabad",Under Construction,1395 , 80.91 00000 ,"5,800 / sq ft"
5 BHK Villa in Nest Bliss In The Woods,"Harshaguda, Hyderabad",Under Construction,7000 , 7.07 0000000 ,"10,114 / sq ft"
4 BHK Villa in Nest Bliss In The Woods,"Harshaguda, Hyderabad",Under Construction,5250 , 4.95 0000000 ,"9,429 / sq ft"
3 BHK Apartment in Candeur Crescent,"Serilingampally, Hyderabad",Under Construction,1824 , 1.46 0000000 ,"8,004 / sq ft"
3 BHK Apartment in Candeur Crescent,"Serilingampally, Hyderabad",Under Construction,2540 , 2.01 0000000 ,"7,913 / sq ft"
3 BHK Apartment in Candeur Crescent,"Serilingampally, Hyderabad",Under Construction,1697 , 1.37 0000000 ,"8,073 / sq ft"
3 BHK Apartment in Candeur Crescent,"Serilingampally, Hyderabad",Under Construction,1877 , 1.48 0000000 ,"7,884 / sq ft"
3 BHK Apartment in Candeur Crescent,"Serilingampally, Hyderabad",Under Construction,1878 , 1.5 0000000 ,"7,987 / sq ft"
3 BHK Apartment in Candeur Crescent,"Serilingampally, Hyderabad",Under Construction,1652 , 1.33 0000000 ,"8,050 / sq ft"
3 BHK Apartment in Candeur Crescent,"Serilingampally, Hyderabad",Under Construction,1721 , 1.39 0000000 ,"8,076 / sq ft"
3 BHK Apartment in Candeur Crescent,"Serilingampally, Hyderabad",Under Construction,2064 , 1.6 0000000 ,"7,751 / sq ft"
3 BHK Apartment in Candeur Crescent,"Serilingampally, Hyderabad",Under Construction,1601 , 1.25 0000000 ,"7,807 / sq ft"
3 BHK Apartment in GHR Callisto,"Kollur, Hyderabad",Under Construction,1915 , 95.73 00000 ,"4,999 / sq ft"
3 BHK Apartment in GHR Callisto,"Kollur, Hyderabad",Under Construction,1625 , 81.23 00000 ,"4,999 / sq ft"
3 BHK Apartment in GHR Callisto,"Kollur, Hyderabad",Under Construction,1430 , 71.48 00000 ,"4,999 / sq ft"
3 BHK Apartment in Sunshine Vihaan,"Gandipet, Hyderabad",Under Construction,1643 , 1.03 0000000 ,"6,301 / sq ft"
3 BHK Apartment in Sunshine Vihaan,"Gandipet, Hyderabad",Under Construction,1626 , 1.02 0000000 ,"6,300 / sq ft"
3 BHK Apartment in Sunshine Vihaan,"Gandipet, Hyderabad",Under Construction,1626 , 1.02 0000000 ,"6,300 / sq ft"
3 BHK Apartment in Vazhraa Vazhraa Prathik,"Nizampet, Hyderabad",Under Construction,1870 , 1.21 0000000 ,"6,500 / sq ft"
3 BHK Apartment in Vazhraa Vazhraa Prathik,"Nizampet, Hyderabad",Under Construction,1710 , 1.11 0000000 ,"6,500 / sq ft"
3 BHK Apartment in Vazhraa Vazhraa Prathik,"Nizampet, Hyderabad",Under Construction,1710 , 1.11 0000000 ,"6,500 / sq ft"
2 BHK Apartment in Vazhraa Vazhraa Prathik,"Nizampet, Hyderabad",Under Construction,1360 , 88.4 00000 ,"6,500 / sq ft"
2 BHK Apartment in Vazhraa Vazhraa Prathik,"Nizampet, Hyderabad",Under Construction,1360 , 88.4 00000 ,"6,500 / sq ft"
3 BHK Apartment in Vazhraa Vazhraa Prathik,"Nizampet, Hyderabad",Under Construction,1820 , 1.18 0000000 ,"6,500 / sq ft"
3 BHK Apartment in Vazhraa Vazhraa Prathik,"Nizampet, Hyderabad",Under Construction,1820 , 1.18 0000000 ,"6,500 / sq ft"
2 BHK Apartment in Vazhraa Vazhraa Prathik,"Nizampet, Hyderabad",Under Construction,1255 , 81.57 00000 ,"6,500 / sq ft"
2 BHK Apartment in Vazhraa Vazhraa Prathik,"Nizampet, Hyderabad",Under Construction,1255 , 81.57 00000 ,"6,500 / sq ft"
2 BHK Apartment in Vazhraa Vazhraa Prathik,"Nizampet, Hyderabad",Under Construction,1270 , 82.55 00000 ,"6,500 / sq ft"
2 BHK Apartment in Vazhraa Vazhraa Prathik,"Nizampet, Hyderabad",Under Construction,1270 , 82.55 00000 ,"6,500 / sq ft"
2 BHK Apartment in Hivision Heights,"Kompally, Hyderabad",Under Construction,1332 , 86.55 00000 ,"6,498 / sq ft"
2 BHK Apartment in Hivision Heights,"Kompally, Hyderabad",Under Construction,1521 , 98.83 00000 ,"6,498 / sq ft"
2 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad",Ready to move,1140 , 59 00000 ,"5,175 / sq ft"
3 BHK Apartment in Hivision Heights,"Kompally, Hyderabad",Under Construction,1511 , 90.64 00000 ,"5,999 / sq ft"
3 BHK Apartment in Hivision Heights,"Kompally, Hyderabad",Under Construction,1888 , 1.13 0000000 ,"5,999 / sq ft"
3 BHK Apartment in Hivision Heights,"Kompally, Hyderabad",Under Construction,2264 , 1.35 0000000 ,"5,999 / sq ft"
3 BHK Apartment in Hivision Heights,"Kompally, Hyderabad",Under Construction,1626 , 97.54 00000 ,"5,999 / sq ft"
3 BHK Apartment in Hivision Heights,"Kompally, Hyderabad",Under Construction,2264 , 1.35 0000000 ,"5,999 / sq ft"
3 BHK Apartment in Hivision Heights,"Kompally, Hyderabad",Under Construction,1626 , 97.54 00000 ,"5,999 / sq ft"
4 BHK Apartment in Hivision Heights,"Kompally, Hyderabad",Under Construction,2464 , 1.47 0000000 ,"5,999 / sq ft"
3 BHK Apartment in Hivision Heights,"Kompally, Hyderabad",Under Construction,1607 , 96.4 00000 ,"5,999 / sq ft"
3 BHK Apartment in Hivision Heights,"Kompally, Hyderabad",Under Construction,1876 , 1.12 0000000 ,"5,999 / sq ft"
3 BHK Apartment in Hivision Heights,"Kompally, Hyderabad",Under Construction,1613 , 96.76 00000 ,"5,999 / sq ft"
3 BHK Apartment in Hivision Heights,"Kompally, Hyderabad",Under Construction,2007 , 1.2 0000000 ,"5,999 / sq ft"
3 BHK Apartment in Hivision Heights,"Kompally, Hyderabad",Under Construction,1485 , 89.08 00000 ,"5,999 / sq ft"
3 BHK Apartment in Hivision Heights,"Kompally, Hyderabad",Under Construction,1600 , 95.98 00000 ,"5,999 / sq ft"
3 BHK Apartment in Hivision Heights,"Kompally, Hyderabad",Under Construction,1709 , 1.02 0000000 ,"5,999 / sq ft"
3 BHK Apartment in Hivision Heights,"Kompally, Hyderabad",Under Construction,1686 , 1.01 0000000 ,"5,999 / sq ft"
3 BHK Apartment in Hivision Heights,"Kompally, Hyderabad",Under Construction,1684 , 1.01 0000000 ,"5,999 / sq ft"
3 BHK Apartment in Hivision Heights,"Kompally, Hyderabad",Under Construction,1696 , 1.01 0000000 ,"5,999 / sq ft"
5 BHK Apartment in Hivision Heights,"Kompally, Hyderabad",Under Construction,3400 , 2.03 0000000 ,"5,999 / sq ft"
3 BHK Apartment in Hivision Heights,"Kompally, Hyderabad",Under Construction,1543 , 92.56 00000 ,"5,999 / sq ft"
4 BHK Apartment in Hivision Heights,"Kompally, Hyderabad",Under Construction,2317 , 1.38 0000000 ,"5,999 / sq ft"
3 BHK Apartment in Hivision Heights,"Kompally, Hyderabad",Under Construction,1812 , 1.08 0000000 ,"5,999 / sq ft"
3 BHK Apartment in Hivision Heights,"Kompally, Hyderabad",Under Construction,1786 , 1.07 0000000 ,"5,999 / sq ft"
3 BHK Apartment in Hivision Heights,"Kompally, Hyderabad",Under Construction,1562 , 93.7 00000 ,"5,999 / sq ft"
2 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad",Ready to move,1140 , 59 00000 ,"5,175 / sq ft"
Residential Plot in Alekhya Anantha County,"Sadashivpet, Hyderabad",New,2754 , 39.76 00000 ,"1,444 / sq ft"
Residential Plot in Alekhya Anantha County,"Sadashivpet, Hyderabad",New,1818 , 26.25 00000 ,"1,444 / sq ft"
Residential Plot in Alekhya Anantha County,"Sadashivpet, Hyderabad",New,1665 , 24.04 00000 ,"1,444 / sq ft"
