title,location,Status,size,price,pricepersqfeet
4 BHK Apartment,"Khajaguda Nanakramguda Road, Hyderabad",Under Construction,2850 , 1.5 0000000 ,"5,263 / sq ft"
3 BHK Apartment in Incor Bonsai Homes,"Nallagandla Gachibowli, Hyderabad",Ready to move,1440 , 95 00000 ,"6,597 / sq ft"
3 BHK Apartment in Srujana Executive Park,"Isnapur, Hyderabad",Under Construction,1492 , 59.72 00000 ,"4,002 / sq ft"
3 BHK Apartment in Dollfine Harmony,"Bachupally, Hyderabad",Under Construction,1500 , 85.5 00000 ,"5,700 / sq ft"
3 BHK Apartment,"Kukatpally, Hyderabad",Ready to move,1585 , 68 00000 ,"4,290 / sq ft"
2 BHK Apartment,"Medchal, Hyderabad",Under Construction,1125 , 38 00000 ,"3,377 / sq ft"
4 BHK Villa,"Puppalaguda, Hyderabad",Ready to move,4000 , 5 0000000 ,"12,500 / sq ft"
3 BHK Apartment in Sri Sai Nivas,"Sri Nagar Colony, Hyderabad",Ready to move,1450 , 67 00000 ,"4,620 / sq ft"
5 BHK Independent House,"Almasguda, Hyderabad",Ready to move,2000 , 95 00000 ,"4,750 / sq ft"
2 BHK Apartment,"Velimela, Hyderabad",Under Construction,1140 , 28.5 00000 ,"2,500 / sq ft"
1 BHK Apartment in Om Sai Enclave,"Boduppal, Hyderabad",Ready to move,570 , 25 00000 ,"4,385 / sq ft"
2 BHK Independent House,"Bolarum, Hyderabad",Ready to move,2200 , 1.25 0000000 ,"5,681 / sq ft"
5 BHK Independent House,"Saroornagar, Hyderabad",Ready to move,5550 , 2 0000000 ,"3,603 / sq ft"
8 BHK Villa in Aditya Villa Grande,"Kompally, Hyderabad",Ready to move,4795 , 6.25 0000000 ,"13,034 / sq ft"
3 BHK Apartment,"Kondapur, Hyderabad",Ready to move,1545 , 1.1 0000000 ,"7,119 / sq ft"
2 BHK Apartment,"B N reddy nagar, Hyderabad",Ready to move,1646 , 59.99 00000 ,"3,645 / sq ft"
4 BHK Independent Floor,"Dammaiguda, Hyderabad",Under Construction,2600 , 1.1 0000000 ,"4,230 / sq ft"
3 BHK Apartment,"Kukatpally, Hyderabad",Under Construction,1575 , 86 00000 ,"5,460 / sq ft"
2 BHK Apartment in Maram Seshaiah Rathnam Heights,"Auto Nagar, Hyderabad",Ready to move,1100 , 67 00000 ,"6,090 / sq ft"
4 BHK Villa,"Yapral, Hyderabad",Ready to move,3382 , 2.4 0000000 ,"7,096 / sq ft"
3 BHK Apartment in Environ Towers,"Nagole, Hyderabad",Ready to move,1460 , 75 00000 ,"5,136 / sq ft"
2 BHK Apartment in MKT Urban Tree,"Isnapur, Hyderabad",Under Construction,840 , 33.59 00000 ,"3,998 / sq ft"
2 BHK Independent House,"Badangpet, Hyderabad",Ready to move,1000 , 65 00000 ,"6,500 / sq ft"
3 BHK Independent House,"Balapur, Hyderabad",Ready to move,950 , 45 00000 ,"4,736 / sq ft"
3 BHK Villa,"Patancheru, Hyderabad",Ready to move,2400 , 1.27 0000000 ,"5,291 / sq ft"
2 BHK Apartment,"LB Nagar, Hyderabad",Ready to move,1100 , 45 00000 ,"4,090 / sq ft"
2 BHK Apartment in Elegant 555,"Kollur, Hyderabad",Under Construction,1265 , 44.27 00000 ,"3,500 / sq ft"
3 BHK Apartment in My Home Mangala,"Kondapur, Hyderabad",Ready to move,1800 , 2 0000000 ,"11,111 / sq ft"
3 BHK Independent House,"Adibatla, Hyderabad",Ready to move,2700 , 1.1 0000000 ,"4,074 / sq ft"
2 BHK Apartment in Green Fort View,"Bandlaguda Jagir, Hyderabad",Ready to move,1271 , 75 00000 ,"5,900 / sq ft"
2 BHK Apartment,"Alwal, Hyderabad",Ready to move,1250 , 57 00000 ,"4,560 / sq ft"
2 BHK Apartment,"Aminpur, Hyderabad",Ready to move,1045 , 44.93 00000 ,"4,300 / sq ft"
2 BHK Apartment in Greenmetro Tulasi Bhagyanagar,"Gagillapur, Hyderabad",Ready to move,990 , 42 00000 ,"4,242 / sq ft"
2 BHK Apartment,"Gundlapochampalli, Hyderabad",Ready to move,1160 , 50.4 00000 ,"4,344 / sq ft"
4 BHK Independent House,"Bowenpally, Hyderabad",Ready to move,5500 , 6 0000000 ,"10,909 / sq ft"
2 BHK Apartment,"Bhanur, Hyderabad",Under Construction,1200 , 25 00000 ,"2,083 / sq ft"
2 BHK Independent House,"Krishna Reddy Pet, Hyderabad",Ready to move,1250 , 96 00000 ,"7,680 / sq ft"
2 BHK Apartment in Sai Jyothi Keerthi Signature,"Kondapur, Hyderabad",Under Construction,2055 , 1.62 0000000 ,"7,883 / sq ft"
3 BHK Independent House,"chandrayangutta, Hyderabad",Ready to move,945 , 45 00000 ,"4,761 / sq ft"
2 BHK Apartment in Sophists Harmony kompally,"Kompally, Hyderabad",Under Construction,1260 , 48 00000 ,"3,809 / sq ft"
3 BHK Apartment in Crown Whistling Woods,"Kokapet, Hyderabad",Ready to move,2060 , 1.9 0000000 ,"9,223 / sq ft"
2 BHK Apartment,"Bachupally, Hyderabad",Under Construction,1230 , 55 00000 ,"4,471 / sq ft"
2 BHK Apartment in Siri Nilayam,"Kompally, Hyderabad",Ready to move,1050 , 49.5 00000 ,"4,714 / sq ft"
3 BHK Apartment in Splendeur Shweta Shubham,"Kompally, Hyderabad",Ready to move,1726 , 1.01 0000000 ,"5,880 / sq ft"
2 BHK Apartment,"Bachupally, Hyderabad",Under Construction,1260 , 60 00000 ,"4,761 / sq ft"
2 BHK Apartment in MJ MJ Gardenia,"Bolarum, Hyderabad",Ready to move,1145 , 63 00000 ,"5,502 / sq ft"
3 BHK Apartment,"Kondapur, Hyderabad",Ready to move,1470 , 92 00000 ,"6,258 / sq ft"
4 BHK Villa,"Kapra, Hyderabad",Ready to move,3200 , 1.9 0000000 ,"5,937 / sq ft"
2 BHK Apartment,"Kondapur, Hyderabad",Ready to move,1200 , 78 00000 ,"6,500 / sq ft"
3 BHK Apartment in Accurate Wind Chimes,"Narsingi, Hyderabad",Ready to move,1600 , 1.35 0000000 ,"8,437 / sq ft"
2 BHK Apartment in Indis PBEL City,"Appa Junction Peerancheru, Hyderabad",Ready to move,1269 , 90 00000 ,"7,092 / sq ft"
4 BHK Villa,"Velimela, Hyderabad",Under Construction,3840 , 2.3 0000000 ,"5,989 / sq ft"
2 BHK Apartment,"Kothapet, Hyderabad",Ready to move,971 , 37 00000 ,"3,810 / sq ft"
2 BHK Apartment in Bhuvanteza Aura II,"Kollur, Hyderabad",Under Construction,1200 , 36 00000 ,"3,000 / sq ft"
2 BHK Apartment,"Nacharam, Hyderabad",Under Construction,1223 , 55.7 00000 ,"4,554 / sq ft"
3 BHK Apartment in Sita Pramod Elite,"Attapur, Hyderabad",Ready to move,1620 , 1.01 0000000 ,"6,234 / sq ft"
2 BHK Independent House,"muthangi, Hyderabad",Under Construction,1320 , 68 00000 ,"5,151 / sq ft"
2 BHK Apartment in Shree Anurag Sri Sai Anurag New Town Phase 2,"Thumkunta, Hyderabad",Ready to move,843 , 40 00000 ,"4,744 / sq ft"
2 BHK Apartment,"Ramachandra Puram, Hyderabad",Ready to move,800 , 31 00000 ,"3,875 / sq ft"
4 BHK Apartment in Swaraj Homes Raj Swari Residency,"Mehdipatnam, Hyderabad",Ready to move,1000 , 48 00000 ,"4,800 / sq ft"
2 BHK Apartment in Silversand Cyberdyne 1,"Madhapur, Hyderabad",Ready to move,1150 , 92 00000 ,"8,000 / sq ft"
3 BHK Apartment in RV Akshobhya,"Bandlaguda Jagir, Hyderabad",Ready to move,1200 , 70 00000 ,"5,833 / sq ft"
3 BHK Apartment in Om Sree Gallaxy,"Gundlapochampally, Hyderabad",Under Construction,1935 , 1.12 0000000 ,"5,800 / sq ft"
2 BHK Apartment in Om Sree Gallaxy,"Gundlapochampally, Hyderabad",Under Construction,1285 , 74.55 00000 ,"5,801 / sq ft"
3 BHK Apartment in Om Sree Gallaxy,"Gundlapochampally, Hyderabad",Under Construction,2225 , 1.29 0000000 ,"5,800 / sq ft"
3 BHK Apartment in Om Sree Gallaxy,"Gundlapochampally, Hyderabad",Under Construction,1910 , 1.1 0000000 ,"5,800 / sq ft"
3 BHK Apartment in Om Sree Gallaxy,"Gundlapochampally, Hyderabad",Under Construction,1445 , 83.81 00000 ,"5,800 / sq ft"
3 BHK Apartment in Om Sree Gallaxy,"Gundlapochampally, Hyderabad",Under Construction,1720 , 99.76 00000 ,"5,800 / sq ft"
3 BHK Apartment in Om Sree Gallaxy,"Gundlapochampally, Hyderabad",Under Construction,2180 , 1.26 0000000 ,"5,800 / sq ft"
3 BHK Apartment in Om Sree Gallaxy,"Gundlapochampally, Hyderabad",Under Construction,1690 , 98.02 00000 ,"5,800 / sq ft"
3 BHK Apartment in Sankalp Sankalp Homes Apartment,"Tellapur, Hyderabad",Ready to move,1786 , 98.33 00000 ,"5,505 / sq ft"
3 BHK Villa,"Kollur, Hyderabad",Under Construction,2000 , 1.3 0000000 ,"6,500 / sq ft"
2 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad",Ready to move,1200 , 54 00000 ,"4,500 / sq ft"
2 BHK Apartment,"Kukatpally, Hyderabad",Ready to move,1120 , 56 00000 ,"5,000 / sq ft"
3 BHK Independent House,"Bandlaguda Jagir, Hyderabad",Ready to move,2800 , 1.45 0000000 ,"5,178 / sq ft"
2 BHK Independent House in VRR Homes,"Nagaram, Hyderabad",Ready to move,1250 , 73.35 00000 ,"5,868 / sq ft"
4 BHK Independent House,"Krishna Reddy Pet, Hyderabad",Under Construction,1350 , 93 00000 ,"6,888 / sq ft"
2 BHK Apartment,"Kothapet, Hyderabad",Ready to move,890 , 39 00000 ,"4,382 / sq ft"
2 BHK Apartment,"Kompally, Hyderabad",Ready to move,1270 , 68 00000 ,"5,354 / sq ft"
2 BHK Apartment,"Happy Homes Colony, Hyderabad",Ready to move,1252 , 62 00000 ,"4,952 / sq ft"
6 BHK Independent House,"Alwal, Hyderabad",Ready to move,4300 , 1.75 0000000 ,"4,069 / sq ft"
2 BHK Apartment in Sri Yagna Akash Block,"Kapra, Hyderabad",Ready to move,1190 , 65.4 00000 ,"5,495 / sq ft"
3 BHK Apartment in GSR Avasa EVK,"Kollur, Hyderabad",Under Construction,2625 , 91.84 00000 ,"3,499 / sq ft"
2 BHK Apartment in GSR Avasa EVK,"Kollur, Hyderabad",Under Construction,1185 , 41.46 00000 ,"3,499 / sq ft"
3 BHK Apartment in GSR Avasa EVK,"Kollur, Hyderabad",Under Construction,1550 , 54.23 00000 ,"3,499 / sq ft"
2 BHK Apartment in GSR Avasa EVK,"Kollur, Hyderabad",Under Construction,1050 , 36.73 00000 ,"3,499 / sq ft"
3 BHK Apartment in GSR Avasa EVK,"Kollur, Hyderabad",Under Construction,1780 , 62.28 00000 ,"3,499 / sq ft"
2 BHK Apartment in GSR Avasa EVK,"Kollur, Hyderabad",Under Construction,1300 , 45.48 00000 ,"3,499 / sq ft"
2 BHK Apartment,"Bachupally, Hyderabad",Ready to move,1267 , 62.08 00000 ,"4,900 / sq ft"
2 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad",Under Construction,1200 , 58 00000 ,"4,833 / sq ft"
3 BHK Apartment,"Kapra, Hyderabad",Ready to move,1509 , 68 00000 ,"4,506 / sq ft"
2 BHK Apartment,"Malkajgiri, Hyderabad",Ready to move,1080 , 64 00000 ,"5,925 / sq ft"
6 BHK Independent House,"Kushaiguda, Hyderabad",Ready to move,3500 , 2.5 0000000 ,"7,142 / sq ft"
3 BHK Apartment in Sumadhura The Olympus,"Nanakramguda, Hyderabad",Under Construction,1670 , 1.33 0000000 ,"7,999 / sq ft"
3 BHK Apartment in Sumadhura The Olympus,"Nanakramguda, Hyderabad",Under Construction,1670 , 1.33 0000000 ,"7,999 / sq ft"
3 BHK Apartment in Sumadhura The Olympus,"Nanakramguda, Hyderabad",Under Construction,3000 , 2.39 0000000 ,"7,999 / sq ft"
3 BHK Apartment in Sumadhura The Olympus,"Nanakramguda, Hyderabad",Under Construction,3000 , 2.39 0000000 ,"7,999 / sq ft"
3 BHK Apartment in Sumadhura The Olympus,"Nanakramguda, Hyderabad",Under Construction,2010 , 1.6 0000000 ,"7,999 / sq ft"
3 BHK Apartment in Sumadhura The Olympus,"Nanakramguda, Hyderabad",Under Construction,2010 , 1.6 0000000 ,"7,999 / sq ft"
3 BHK Apartment in Sumadhura The Olympus,"Nanakramguda, Hyderabad",Under Construction,2880 , 2.3 0000000 ,"7,999 / sq ft"
3 BHK Apartment in Sumadhura The Olympus,"Nanakramguda, Hyderabad",Under Construction,2880 , 2.3 0000000 ,"7,999 / sq ft"
3 BHK Apartment in Sumadhura The Olympus,"Nanakramguda, Hyderabad",Under Construction,2320 , 1.85 0000000 ,"7,999 / sq ft"
3 BHK Apartment in Sumadhura The Olympus,"Nanakramguda, Hyderabad",Under Construction,2320 , 1.85 0000000 ,"7,999 / sq ft"
3 BHK Apartment in Sumadhura The Olympus,"Nanakramguda, Hyderabad",Under Construction,2020 , 1.61 0000000 ,"7,999 / sq ft"
3 BHK Apartment in Sumadhura The Olympus,"Nanakramguda, Hyderabad",Under Construction,2020 , 1.61 0000000 ,"7,999 / sq ft"
3 BHK Apartment in Sumadhura The Olympus,"Nanakramguda, Hyderabad",Under Construction,2270 , 1.81 0000000 ,"7,999 / sq ft"
3 BHK Apartment in Sumadhura The Olympus,"Nanakramguda, Hyderabad",Under Construction,2270 , 1.81 0000000 ,"7,999 / sq ft"
Residential Plot,"Kukatpally, Hyderabad",Resale,2322 , 2.32 0000000 ,"10,000 / sq ft"
Residential Plot,"Dullapally, Hyderabad",Resale,1927 , 80 00000 ,"4,151 / sq ft"
Residential Plot in Peram Adithya Akshita 2,"Kondakal, Hyderabad",Resale,2244 , 66 00000 ,"2,941 / sq ft"
Residential Plot,"Kadthal, Hyderabad",Resale,1320 , 21 00000 ,"1,590 / sq ft"
Residential Plot,"Rakshapuram, Hyderabad",Resale,1260 , 84 00000 ,"6,666 / sq ft"
Residential Plot in Paradise Sai Rishi Colony,"Nandikandi, Hyderabad",Resale,1350 , 45.5 00000 ,"3,370 / sq ft"
Residential Plot,"Kothur, Hyderabad",Resale,1800 , 20 00000 ,"1,111 / sq ft"
Residential Plot,"Gachibowli, Hyderabad",Resale,1323 , 13.23 00000 ,"1,000 / sq ft"
Residential Plot,"Jillelguda, Hyderabad",Resale,1350 , 11.25 00000 ,833 / sq ft
Residential Plot,"Shadnagar, Hyderabad",Resale,1323 , 13 00000 ,982 / sq ft
Residential Plot,"Devaryamjal, Hyderabad",Resale,1800 , 80 00000 ,"4,444 / sq ft"
Residential Plot,"Zaheerabad, Hyderabad",Resale,12834 , 16.5 00000 ,128 / sq ft
Residential Plot,"Shadnagar, Hyderabad",Resale,3267 , 12 00000 ,367 / sq ft
Residential Plot,"Tallagudem, Hyderabad",Resale,1350 , 11.25 00000 ,833 / sq ft
Residential Plot,"Patancheru, Hyderabad",Resale,1809 , 38 00000 ,"2,100 / sq ft"
Residential Plot,"Aminpur, Hyderabad",Resale,1116 , 24 00000 ,"2,150 / sq ft"
Residential Plot,"muthangi, Hyderabad",Resale,1650 , 50 00000 ,"3,030 / sq ft"
Residential Plot,"Taramatipet, Hyderabad",Resale,1500 , 27 00000 ,"1,800 / sq ft"
Residential Plot in Sai Krishna County,"Sangareddy, Hyderabad",Resale,1650 , 43.92 00000 ,"2,661 / sq ft"
Residential Plot,"Shadnagar, Hyderabad",Resale,1323 , 22.5 00000 ,"1,700 / sq ft"
Residential Plot,"Shadnagar, Hyderabad",Resale,1323 , 23 00000 ,"1,738 / sq ft"
Residential Plot,"Bhuvanagiri, Hyderabad",Resale,7200 , 40 00000 ,555 / sq ft
Residential Plot,"Shadnagar, Hyderabad",Resale,1323 , 21 00000 ,"1,587 / sq ft"
Residential Plot,"Sadashivpet, Hyderabad",Resale,1350 , 22.49 00000 ,"1,665 / sq ft"
Residential Plot,"Kadthal, Hyderabad",Resale,1089 , 9 00000 ,826 / sq ft
Residential Plot,"Rudraram, Hyderabad",Resale,4932 , 2 0000000 ,"4,055 / sq ft"
6 BHK Independent House,"Mehdipatnam, Hyderabad",Ready to move,5000 , 6.85 0000000 ,"13,700 / sq ft"
3 BHK Apartment in ASR Jaya ASR Abodes,"Manikonda, Hyderabad",Ready to move,1368 , 87 00000 ,"6,359 / sq ft"
2 BHK Independent House in Prajay Waterfront City,"Shamirpet, Hyderabad",Ready to move,835 , 45 00000 ,"5,389 / sq ft"
3 BHK Apartment in Mainland A2A Home Land,"Balanagar, Hyderabad",Under Construction,1700 , 96.9 00000 ,"5,700 / sq ft"
3 BHK Apartment,"Chandanagar, Hyderabad",Under Construction,1500 , 1 0000000 ,"6,666 / sq ft"
2 BHK Apartment in Frontline Seven,"Kokapet, Hyderabad",Under Construction,1330 , 88 00000 ,"6,616 / sq ft"
3 BHK Apartment,"Kukatpally, Hyderabad",Under Construction,1360 , 86 00000 ,"6,323 / sq ft"
2 BHK Apartment in Beams 4 Blocks,"Kompally, Hyderabad",Under Construction,1315 , 69.69 00000 ,"5,300 / sq ft"
2 BHK Apartment in NMR Aashrith,"Bongloor, Hyderabad",Ready to move,1100 , 47 00000 ,"4,272 / sq ft"
2 BHK Independent Floor,"Bandlaguda Jagir, Hyderabad",Ready to move,1010 , 40.99 00000 ,"4,059 / sq ft"
Residential Plot,"Kothur, Hyderabad",Resale,1485 , 29.7 00000 ,"2,000 / sq ft"
Residential Plot in Subhagruha Sukrithi Subhaga,"Sadashivpet, Hyderabad",Resale,1815 , 29.29 00000 ,"1,613 / sq ft"
Residential Plot,"Pasumamula, Hyderabad",Resale,1350 , 48 00000 ,"3,555 / sq ft"
Residential Plot,"Cherlapalli, Hyderabad",Resale,1089 , 6 00000 ,550 / sq ft
Residential Plot in RP Sri Sai Bloom City 2,"Shadnagar, Hyderabad",Resale,1345 , 15 00000 ,"1,115 / sq ft"
4 BHK Villa,"Nandigama, Hyderabad",Ready to move,2540 , 1.22 0000000 ,"4,842 / sq ft"
2 BHK Apartment in Vasavi Urban,"Bachupally, Hyderabad",Under Construction,950 , 41 00000 ,"4,315 / sq ft"
2 BHK Apartment in Vasavi Urban,"Bachupally, Hyderabad",Under Construction,975 , 42 00000 ,"4,307 / sq ft"
2 BHK Apartment in Vasavi Urban,"Bachupally, Hyderabad",Under Construction,875 , 37 00000 ,"4,228 / sq ft"
3 BHK Apartment in Vasavi Skyla,"Hitech City, Hyderabad",Under Construction,2810 , 2.5 0000000 ,"8,900 / sq ft"
3 BHK Apartment in Vasavi Skyla,"Hitech City, Hyderabad",Under Construction,3600 , 3.2 0000000 ,"8,900 / sq ft"
4 BHK Apartment in Vasavi Skyla,"Hitech City, Hyderabad",Under Construction,4140 , 3.68 0000000 ,"8,900 / sq ft"
4 BHK Apartment in Vasavi Skyla,"Hitech City, Hyderabad",Under Construction,3590 , 3.19 0000000 ,"8,900 / sq ft"
3 BHK Apartment in Vasavi Skyla,"Hitech City, Hyderabad",Under Construction,2290 , 2.03 0000000 ,"8,900 / sq ft"
3 BHK Apartment in Vasavi Skyla,"Hitech City, Hyderabad",Under Construction,2815 , 2.5 0000000 ,"8,900 / sq ft"
4 BHK Apartment in Vasavi Skyla,"Hitech City, Hyderabad",Under Construction,3580 , 3.18 0000000 ,"8,900 / sq ft"
3 BHK Apartment in Vasavi Skyla,"Hitech City, Hyderabad",Under Construction,2835 , 2.52 0000000 ,"8,900 / sq ft"
4 BHK Apartment in Vasavi Skyla,"Hitech City, Hyderabad",Under Construction,4200 , 3.73 0000000 ,"8,900 / sq ft"
3 BHK Apartment in Vasavi Skyla,"Hitech City, Hyderabad",Under Construction,2265 , 2.01 0000000 ,"8,900 / sq ft"
4 BHK Apartment in Vasavi Skyla,"Hitech City, Hyderabad",Under Construction,4170 , 3.71 0000000 ,"8,900 / sq ft"
3 BHK Apartment in Vasavi Skyla,"Hitech City, Hyderabad",Under Construction,2540 , 2.26 0000000 ,"8,900 / sq ft"
3 BHK Apartment in Vasavi Skyla,"Hitech City, Hyderabad",Under Construction,2535 , 2.25 0000000 ,"8,900 / sq ft"
3 BHK Apartment in Vasavi Skyla,"Hitech City, Hyderabad",Under Construction,2270 , 2.02 0000000 ,"8,900 / sq ft"
5 BHK Apartment in Vasavi Skyla,"Hitech City, Hyderabad",Under Construction,4530 , 4.03 0000000 ,"8,900 / sq ft"
3 BHK Apartment in Vasavi Skyla,"Hitech City, Hyderabad",Under Construction,2480 , 2.2 0000000 ,"8,900 / sq ft"
3 BHK Apartment in Vasavi Skyla,"Hitech City, Hyderabad",Under Construction,3005 , 2.67 0000000 ,"8,900 / sq ft"
5 BHK Apartment in Vasavi Skyla,"Hitech City, Hyderabad",Under Construction,5080 , 4.52 0000000 ,"8,900 / sq ft"
3 BHK Apartment in Vasavi Skyla,"Hitech City, Hyderabad",Under Construction,2225 , 1.98 0000000 ,"8,900 / sq ft"
5 BHK Apartment in Vasavi Skyla,"Hitech City, Hyderabad",Under Construction,4540 , 4.04 0000000 ,"8,900 / sq ft"
3 BHK Apartment in Vasavi Skyla,"Hitech City, Hyderabad",Under Construction,3030 , 2.69 0000000 ,"8,900 / sq ft"
3 BHK Apartment in Vasavi Skyla,"Hitech City, Hyderabad",Under Construction,2980 , 2.65 0000000 ,"8,900 / sq ft"
5 BHK Apartment in Vasavi Skyla,"Hitech City, Hyderabad",Under Construction,7200 , 6.4 0000000 ,"8,900 / sq ft"
3 BHK Apartment in Vasavi Skyla,"Hitech City, Hyderabad",Under Construction,2205 , 1.96 0000000 ,"8,900 / sq ft"
4 BHK Apartment in Vasavi Skyla,"Hitech City, Hyderabad",Under Construction,4410 , 3.92 0000000 ,"8,900 / sq ft"
3 BHK Apartment in Vasavi Skyla,"Hitech City, Hyderabad",Under Construction,3205 , 2.85 0000000 ,"8,900 / sq ft"
3 BHK Apartment in Vasavi Skyla,"Hitech City, Hyderabad",Under Construction,2410 , 2.14 0000000 ,"8,900 / sq ft"
3 BHK Apartment in Vasavi Skyla,"Hitech City, Hyderabad",Under Construction,3220 , 2.86 0000000 ,"8,900 / sq ft"
3 BHK Apartment in Vasavi Skyla,"Hitech City, Hyderabad",Under Construction,2125 , 1.89 0000000 ,"8,900 / sq ft"
3 BHK Apartment in Vasavi Skyla,"Hitech City, Hyderabad",Under Construction,2385 , 2.12 0000000 ,"8,900 / sq ft"
3 BHK Apartment in Vasavi Skyla,"Hitech City, Hyderabad",Under Construction,2400 , 2.13 0000000 ,"8,900 / sq ft"
5 BHK Apartment in Vasavi Skyla,"Hitech City, Hyderabad",Under Construction,6010 , 5.34 0000000 ,"8,900 / sq ft"
5 BHK Apartment in Vasavi Skyla,"Hitech City, Hyderabad",Under Construction,4450 , 3.96 0000000 ,"8,900 / sq ft"
4 BHK Apartment in Vasavi Skyla,"Hitech City, Hyderabad",Under Construction,4800 , 4.27 0000000 ,"8,900 / sq ft"
3 BHK Apartment in Vasavi Skyla,"Hitech City, Hyderabad",Under Construction,2100 , 1.86 0000000 ,"8,900 / sq ft"
4 BHK Apartment in Vasavi Skyla,"Hitech City, Hyderabad",Under Construction,3640 , 3.23 0000000 ,"8,900 / sq ft"
5 BHK Apartment in Vasavi Skyla,"Hitech City, Hyderabad",Under Construction,4770 , 4.24 0000000 ,"8,900 / sq ft"
4 BHK Apartment in Vasavi Skyla,"Hitech City, Hyderabad",Under Construction,6440 , 5.73 0000000 ,"8,900 / sq ft"
4 BHK Apartment in Vasavi Skyla,"Hitech City, Hyderabad",Under Construction,4845 , 4.31 0000000 ,"8,900 / sq ft"
4 BHK Apartment in Vasavi Skyla,"Hitech City, Hyderabad",Under Construction,3680 , 3.27 0000000 ,"8,900 / sq ft"
5 BHK Apartment in Vasavi Skyla,"Hitech City, Hyderabad",Under Construction,6410 , 5.7 0000000 ,"8,900 / sq ft"
4 BHK Apartment in Vasavi Skyla,"Hitech City, Hyderabad",Under Construction,3935 , 3.5 0000000 ,"8,900 / sq ft"
Residential Plot,"Shankarpally Road, Hyderabad",Resale,11700 , 1.95 0000000 ,"1,666 / sq ft"
Residential Plot,"Sadashivpet, Hyderabad",Resale,1400 , 18 00000 ,"1,285 / sq ft"
Residential Plot,"Shadnagar, Hyderabad",Resale,1353 , 11 00000 ,813 / sq ft
2 BHK Apartment,"Erragadda, Hyderabad",Under Construction,900 , 66 00000 ,"7,333 / sq ft"
3 BHK Apartment in Ohana Summit,"Kukatpally, Hyderabad",Ready to move,1555 , 91 00000 ,"5,852 / sq ft"
2 BHK Apartment,"Kothapet, Hyderabad",Ready to move,1150 , 55 00000 ,"4,782 / sq ft"
2 BHK Independent Floor,"Boduppal, Hyderabad",Ready to move,800 , 3.5 0000000 ,"43,750 / sq ft"
4 BHK Villa,"Sainikpuri, Hyderabad",Ready to move,2700 , 2.35 0000000 ,"8,703 / sq ft"
2 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad",Ready to move,1200 , 47.5 00000 ,"3,958 / sq ft"
2 BHK Apartment,"Madhapur, Hyderabad",Ready to move,1235 , 95 00000 ,"7,692 / sq ft"
Residential Plot,"Jai Suryapatnam, Hyderabad",Resale,1368 , 33 00000 ,"2,412 / sq ft"
Residential Plot,"Kandukur, Hyderabad",Resale,4500 , 62.5 00000 ,"1,388 / sq ft"
Residential Plot,"Bhuvanagiri, Hyderabad",Resale,1503 , 28.39 00000 ,"1,888 / sq ft"
2 BHK Independent House,"Laxmiguda, Hyderabad",Ready to move,1050 , 50 00000 ,"4,761 / sq ft"
5 BHK Villa,"Serilingampally, Hyderabad",Ready to move,3500 , 5.5 0000000 ,"15,714 / sq ft"
3 BHK Independent House,"Adikmet, Hyderabad",Ready to move,4302 , 3.85 0000000 ,"8,949 / sq ft"
10 BHK Independent House,"Vanasthalipuram, Hyderabad",Ready to move,5400 , 3.7 0000000 ,"6,851 / sq ft"
Residential Plot,"Kukatpally, Hyderabad",Resale,1746 , 2.5 0000000 ,"14,318 / sq ft"
Residential Plot,"Yacharam, Hyderabad",Resale,1800 , 10 00000 ,555 / sq ft
Residential Plot,"Sadashivpet, Hyderabad",Resale,1647 , 40 00000 ,"2,428 / sq ft"
2 BHK Apartment,"Isnapur, Hyderabad",Ready to move,1000 , 40 00000 ,"4,000 / sq ft"
2 BHK Apartment in Concept Onyx,"Kompally, Hyderabad",Ready to move,1290 , 65 00000 ,"5,038 / sq ft"
3 BHK Apartment,"Upparpally, Hyderabad",Ready to move,1350 , 75 00000 ,"5,555 / sq ft"
4 BHK Villa in Pavani Harmony,"Bandlaguda Jagir, Hyderabad",Ready to move,3500 , 4 0000000 ,"11,428 / sq ft"
2 BHK Apartment in AV Magnifique,"Pocharam, Hyderabad",Under Construction,1210 , 48.4 00000 ,"4,000 / sq ft"
3 BHK Apartment in KSR Rams Abode East,"Kompally, Hyderabad",Ready to move,1765 , 96.89 00000 ,"5,489 / sq ft"
2 BHK Independent House in Kakatiya Green Diamond County,"Rampally, Hyderabad",Under Construction,1500 , 85 00000 ,"5,666 / sq ft"
2 BHK Apartment,"Suraram, Hyderabad",Ready to move,1035 , 40 00000 ,"3,864 / sq ft"
6 BHK Independent House,"Saidabad, Hyderabad",Ready to move,3500 , 1.9 0000000 ,"5,428 / sq ft"
3 BHK Apartment in Aaditri Aaditris Empire,"Kollur, Hyderabad",Ready to move,1685 , 88 00000 ,"5,222 / sq ft"
2 BHK Apartment,"Bachupally, Hyderabad",Under Construction,1190 , 63 00000 ,"5,294 / sq ft"
Residential Plot,"Peddakaparthy, Hyderabad",Resale,1800 , 14.55 00000 ,808 / sq ft
4 BHK Villa in Sunyuga Villa Palazzo,"Gundlapochampally, Hyderabad",Under Construction,3587 , 2.69 0000000 ,"7,500 / sq ft"
